group,verdict,reason,count,finite_count,mean_abs_logprob_diff,abs_logprob_diff_p50,abs_logprob_diff_p90,abs_logprob_diff_p95,abs_logprob_diff_p99,rank_delta_nonzero_rate,topk_jaccard_mean,topk_jaccard_p05,union_js_p95,union_js_p99,missing_selected_count,accept_failures,reject_hits
00948d836971f053bbf9,REJECT,single sample violates one or more reject thresholds,128,128,0.03468200044677072,0.004416740499436855,0.10973479151725765,0.15499508082866656,0.3097078087925912,0.0078125,0.9305552902979358,0.8473949579831933,0.007770854528666096,0.023445756823798188,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; union_js_p99,mean_abs_logprob_diff
078441dc63cb2e4b07bd,REJECT,single sample violates one or more reject thresholds,128,128,0.003448895147658282,1.9073444548212137e-06,0.006098422408103941,0.011387054622173286,0.07644302159547818,0.0,0.8445654327697925,0.6,0.0012040622725760016,0.004311823012366921,0,topk_jaccard_mean,topk_jaccard_mean
081f312c80bb99972dbd,REJECT,single sample violates one or more reject thresholds,128,128,0.045539928536223406,0.01076374389231205,0.146177390217781,0.1927122712135313,0.30587601840496065,0.0546875,0.9164128151260486,0.8285714285714286,0.010721255800330103,0.02252163726793939,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff
0848a18636674f51559d,REJECT,single sample violates one or more reject thresholds,128,128,0.035637197307002766,0.0008234221022576094,0.0831718400120735,0.16698888391256322,0.5239978027343756,0.03125,0.923123302351242,0.8285714285714286,0.009313354413542902,0.02931855656731706,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p99
08a516ed65ded1d98939,REJECT,single sample violates one or more reject thresholds,128,128,0.04185508030074386,0.028201133012771606,0.09376221299171447,0.12468470931053154,0.21126958668231982,0.0234375,0.9261023389699847,0.8285714285714286,0.005268033548708093,0.007592210141510887,0,mean_abs_logprob_diff; abs_logprob_diff_p95,mean_abs_logprob_diff
0a1d8a7c087c9dc3d2cd,REJECT,single sample violates one or more reject thresholds,128,128,0.046365971984726695,0.021663546562194824,0.12218718528747557,0.18191146254539486,0.21408972978591922,0.0390625,0.9173284255583587,0.8285714285714286,0.00844932611223592,0.026667626726279217,0,mean_abs_logprob_diff; abs_logprob_diff_p95; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff
0a95e425e4dd7a02f20c,REJECT,single sample violates one or more reject thresholds,128,128,0.030287403270092494,0.0015766672440804541,0.08152974992990494,0.12901243492960918,0.3063875940442087,0.0078125,0.9248553987524559,0.8285714285714286,0.007424424763767161,0.02743629894300747,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; union_js_p99,mean_abs_logprob_diff
0aa6cfc00ab1dd402f7e,REJECT,single sample violates one or more reject thresholds,128,128,0.012706894452467088,9.575934382155538e-05,0.03271074150688944,0.059561848640441895,0.1904913830757144,0.0078125,0.8599646000880188,0.6410256410256411,0.005920755223910784,0.01640614186386849,0,topk_jaccard_mean,topk_jaccard_mean
0b78fd794493c2fce383,REJECT,single sample violates one or more reject thresholds,128,128,0.037221475572020324,0.00011736874876078218,0.13132586479187008,0.19016568884253499,0.3650888681411746,0.0234375,0.9343988731856363,0.8823529411764706,0.015668904060524826,0.024754017032672732,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; union_js_p99,mean_abs_logprob_diff
0c1b0aa5f7b49771176d,INCONCLUSIVE,single sample is between accept and reject thresholds,128,128,0.002578778298459816,1.4304946489573922e-06,0.0032120045274496066,0.011296092160046099,0.05683536842465411,0.0,0.9070762816312334,0.7465465465465466,0.0003665365895200616,0.002761526863067729,0,topk_jaccard_mean,
