sample_id,input_token_count,output_token_count,total_output_rows,threshold,high_abs_diff_count,high_abs_diff_ratio,max_abs_logprob_diff
b0145834c05f05dae4d3,17346,128,128,1.0,1,0.0078125,1.6506275832653046
039de85a378ae7082fd2,17342,128,128,1.0,1,0.0078125,18.351804494857788
f00aee5ec6fc24ea74d3,17088,128,128,1.0,1,0.0078125,12.256685495376587
03cc0a8a75c211be23fe,15433,128,128,1.0,1,0.0078125,1.7296917894855142
5ade7d1684a8dc883a00,8686,128,128,1.0,1,0.0078125,21.20338797569275
3db4cd0bbf72d65960e8,8684,128,128,1.0,1,0.0078125,3.0367269068956375
1310abe2b8da0b834977,8682,128,128,1.0,1,0.0078125,1.5307980477809906
176a7bce47496290f8d8,8679,128,128,1.0,1,0.0078125,5.642616957426071
f34c90a29cf275febd01,8678,128,128,1.0,1,0.0078125,9.513162612915039
3f231060987c849040bb,8676,128,128,1.0,1,0.0078125,18.93497510580346
055b2fa2711402598ff8,8671,128,128,1.0,1,0.0078125,14.670448414166458
495a494e8b4965d40da7,7722,128,128,1.0,1,0.0078125,1.3466648310422897
47eb4ae78c5d6f83ec91,7722,128,128,1.0,1,0.0078125,9.175385594367981
3d4f88e2f300c1aa21b8,7721,128,128,1.0,1,0.0078125,16.010405361652374
554e6e4c62ef5419bb05,2182,128,128,1.0,1,0.0078125,1.6801775097846985
6013deb8f43a8eb5014c,2182,128,128,1.0,1,0.0078125,17.067992709577084
c7edc7c587e8e70ae734,2181,128,128,1.0,1,0.0078125,1.0968002676963806
bedf97d883a8ffdb2f9a,2177,128,128,1.0,1,0.0078125,1.854827880859375
71a52be839a16d2f9be8,2176,128,128,1.0,1,0.0078125,5.812163263559341
9a6303f1549d542c1801,2174,128,128,1.0,1,0.0078125,3.369107484817505
40a11064186f76a13eb6,2171,128,128,1.0,1,0.0078125,6.066752165555954
23cb4621d0cc79754f3c,2169,128,128,1.0,1,0.0078125,15.04855901375413
9356bffe6da623595956,2168,128,128,1.0,1,0.0078125,8.987472772598267
e7be21945ca0ad81fcf8,2167,128,128,1.0,1,0.0078125,2.068105936050415
bfb01adcfe0e136fb6ba,2166,128,128,1.0,1,0.0078125,1.8972221724689007
473cbdaf4c59655f87d1,2166,128,128,1.0,1,0.0078125,1.6598574221134186
b56ae2de0afa2666ca79,2147,128,128,1.0,1,0.0078125,14.483207434415817
bac8931bb96bead1718b,2142,128,128,1.0,1,0.0078125,5.231549650430679
2452ea884a1c69755f8d,1930,128,128,1.0,1,0.0078125,1.1950199007987976
bc49f7c3c4e5bbaf4820,1929,128,128,1.0,1,0.0078125,6.684424689505249
bd74d2b1f175935afa85,558,128,128,1.0,1,0.0078125,1.8933463096618652
c75c6e1638e89a6176aa,558,128,128,1.0,1,0.0078125,2.448726534843445
674c6ea6cf764bec2057,557,128,128,1.0,1,0.0078125,4.497918456792831
da58948177e1cf8654f5,553,128,128,1.0,1,0.0078125,14.535066604614258
b1902038a7ef37ed4fc4,551,128,128,1.0,1,0.0078125,6.435190632939339
d8b09c3c7d87562a1319,551,128,128,1.0,1,0.0078125,1.4545655250549316
c7861826e401957015c5,549,128,128,1.0,1,0.0078125,1.457253336906433
4782b9784239087a6e8c,547,128,128,1.0,1,0.0078125,2.106070041656494
2a51504be7780b627a97,545,128,128,1.0,1,0.0078125,1.8257102966308594
965e728be3dff0fbc467,544,128,128,1.0,1,0.0078125,3.6604737639427185
9f1165575d2a3ffd7d23,543,128,128,1.0,1,0.0078125,6.356847524642944
16848c5028ff542acb85,542,128,128,1.0,1,0.0078125,11.290893077850342
4c7614fc3ab24132bdb1,490,128,128,1.0,1,0.0078125,1.586725190281868
33b0a11bae14f2134af4,149,128,128,1.0,1,0.0078125,1.481113314628601
774557917a3cbf84f6f9,147,128,128,1.0,1,0.0078125,1.6689739227294922
1bd6df0931ab70debb45,147,128,128,1.0,1,0.0078125,7.000304311513901
36b6809c027eea902111,144,128,128,1.0,1,0.0078125,1.1584484572522342
2ddc769a3cc319dad592,139,128,128,1.0,1,0.0078125,4.902520298957825
ead575033d25c448fe3d,138,128,128,1.0,1,0.0078125,6.9891592264175415
6cfe70e13bcbaa3c8111,138,128,128,1.0,1,0.0078125,1.905920147895813
9306b267ac782a242f77,133,128,128,1.0,1,0.0078125,4.218315482139587
a55c5155a2a04c4e9d55,17775,128,128,1.0,0,0.0,0.37663137912750244
3d449bba51879bf3aecc,17775,128,128,1.0,0,0.0,0.29316043853759766
2ecf77a319216bc29cec,17775,128,128,1.0,0,0.0,0.26537609100341797
9e67f4bf842595bbb4b1,17779,1,1,1.0,0,0.0,0.09414339065551758
7ceb207421c1069121e5,17774,1,1,1.0,0,0.0,0.4802401661872864
920f9b9d4e5dc6851d70,17352,128,128,1.0,0,0.0,0.44703763723373413
c5144978e30db02dd877,17352,128,128,1.0,0,0.0,0.8153920769691467
e561a535910edc828d00,17347,128,128,1.0,0,0.0,0.3434242606163025
10512be5feb68d673da7,17344,128,128,1.0,0,0.0,0.6328237056732178
44d091c7fd34fb996930,17340,128,128,1.0,0,0.0,0.30556797981262207
44ec66fdff5e86b71209,17351,109,109,1.0,0,0.0,0.4303474426269531
5bad86c7dba7e6c30555,17348,100,100,1.0,0,0.0,0.5507439970970154
3db7edbac88e655bec03,17339,78,78,1.0,0,0.0,0.27362972497940063
5439466cdf9b3fe03eb3,17354,42,42,1.0,0,0.0,0.5735881328582764
4c3548db8eb781483b39,17351,19,19,1.0,0,0.0,0.17517292499542236
58648685326515e690e8,17347,15,15,1.0,0,0.0,0.22126972675323486
41fe69362c321f8a0515,17088,115,115,1.0,0,0.0,0.5877261161804199
bf3fd5bcc4cfb3b1e903,17086,86,86,1.0,0,0.0,0.16576534509658813
c4cc82e921d1f61de305,16416,1,1,1.0,0,0.0,0.006134033203125
83dceef090c2c48724b2,16414,1,1,1.0,0,0.0,0.007425684481859207
97eaafbb885b43fec816,16409,1,1,1.0,0,0.0,0.014342695474624634
e038afc9e824c4b96fae,16409,1,1,1.0,0,0.0,0.043344512581825256
e59cc328ae6e136bceec,16408,1,1,1.0,0,0.0,0.07079774141311646
d305c7e985462df37c18,15434,128,128,1.0,0,0.0,0.7931917607784271
05a34169bb5dcd38d174,15434,128,128,1.0,0,0.0,0.63716721534729
c314ef821766e1cd4498,8901,128,128,1.0,0,0.0,0.4602721929550171
9f620bc9ded0e5b186b0,8900,128,128,1.0,0,0.0,0.3773629665374756
0f7d0fd565e33920609b,8883,128,128,1.0,0,0.0,0.5402975082397461
b0fa122a71f4b81bc130,8883,128,128,1.0,0,0.0,0.36637693643569946
