abs_logprob_diff_p50,abs_logprob_diff_p90,abs_logprob_diff_p95,abs_logprob_diff_p99,abs_logprob_diff_p999,count,finite_count,group,max_abs_logprob_diff,mean_abs_logprob_diff,missing_selected_count,rank_delta_nonzero_rate,topk_jaccard_mean,topk_jaccard_p01,topk_jaccard_p05,union_js_max,union_js_p95,union_js_p99
0.010346404276788235,0.20153522491455084,0.26425601243972774,0.4048991370201104,0.5071303384304048,53,53,00948d836971f053bbf9,0.5184893608093262,0.058575217678380025,0,0.03773584905660377,0.8834928752262619,0.6702993404363267,0.8182696177062375,0.037476229468836685,0.013498633780994189,0.027816758409507623
0.00010738296623458154,0.09168130904436111,0.1587703049182891,0.2591970503330231,0.395654010981322,128,128,00f75f3d9317bb603adf,0.4150014817714691,0.02696947512365,0,0.0,0.799415000617711,0.5259607843137255,0.6623376623376623,0.0373773525006719,0.010596179349686844,0.030255704984085814
0.1226663589477539,0.1226663589477539,0.1226663589477539,0.1226663589477539,0.1226663589477539,1,1,039de85a378ae7082fd2,0.1226663589477539,0.1226663589477539,0,0.0,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.0174984547770086,0.0174984547770086,0.0174984547770086
0.01471690833568573,0.13725605010986325,0.1637821316719055,0.25755749225616464,0.295137812793255,128,128,03cc0a8a75c211be23fe,0.29933446645736694,0.04466600966787837,0,0.046875,0.8702783355076726,0.6024114157447491,0.7380229544613106,0.05237970856306688,0.010245963319397677,0.03828179880583507
0.027379993349313736,0.1639999061822891,0.23851508796215054,0.4156465220451356,0.4453020688295366,128,128,055b2fa2711402598ff8,0.4486280679702759,0.058345417773672636,0,0.0390625,0.8926424056316826,0.7128936936936937,0.8028169014084507,0.03920138759971081,0.017218236640617775,0.026897732369606162
0.03218892216682434,0.16586432456970213,0.21437411904335021,0.31751505374908456,0.5786048272848143,128,128,05a34169bb5dcd38d174,0.6156327724456787,0.06491119354615194,0,0.0546875,0.9035962513608689,0.7534246575342467,0.7865414710485135,0.03319130476906228,0.0070737019200063644,0.025513639877997523
0.0018805110594257712,0.10368343591690063,0.12902339100837706,0.309367129802704,0.4367127962112433,128,128,078441dc63cb2e4b07bd,0.4540517330169678,0.03168345342882928,0,0.0234375,0.8348269759943981,0.5287664945496271,0.5609756097560976,0.019125419936260504,0.009706889145352749,0.011971143647115394
0.0004618451639544219,0.11466504931449889,0.2057964764535426,0.30801580503582954,0.4468778455108412,128,128,081f312c80bb99972dbd,0.4669184535741806,0.0344731326942172,0,0.0234375,0.8292768358164154,0.5661788617886179,0.6275235313209997,0.05117089018760064,0.015890660605889548,0.0373636069632829
0.0019451063126325607,0.1961648553609847,0.35483131408691354,0.7426795145869265,1.1156470869779604,128,128,0848a18636674f51559d,1.1595560014247894,0.06368579371889876,0,0.0625,0.8819425572678301,0.6842105263157895,0.7619482496194825,0.14440509743340613,0.0307974702453109,0.11361681687165541
0.013156682252883911,0.16519927978515622,0.18463824391365047,0.2499200928211212,0.4430690061450015,128,128,08a516ed65ded1d98939,0.4711650609970093,0.04780839568609735,0,0.0390625,0.9101191590335769,0.8028169014084507,0.8285714285714286,0.014338728552810803,0.011422443712647404,0.01399100135458375
