compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_layer_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_overlap_mean
988928,877302,0.8871242395806368,111626,0.11287576041936319,0,1000,123616,73135,0.5916305332643024,123616,109562,0.8863092156355165,0.97460019558777,0.9856935995340409
988928,841196,0.8506139981879368,147732,0.14938600181206316,1,1000,123616,62252,0.5035917680559151,123616,103445,0.8368253300543619,0.962725331231025,0.9788862283199585
988928,815579,0.8247101912373803,173349,0.17528980876261974,2,1000,123616,54065,0.43736247734921047,123616,98669,0.7981895547501942,0.9527354907726385,0.9730344372896712
988928,776535,0.7852290561092415,212393,0.2147709438907585,3,1000,123616,44102,0.3567661144188455,123616,93096,0.7531063939943049,0.9428071159432785,0.9674910610276987
988928,798388,0.8073267214600052,190540,0.19267327853999483,4,1000,123616,49471,0.40019900336526015,123616,96076,0.7772133057209423,0.9484777432421755,0.9707208209293295
988928,778652,0.7873697579601346,210276,0.21263024203986539,5,1000,123616,44095,0.3567094874449909,123616,93404,0.7555979808439037,0.9440666698044374,0.9683050737768574
988928,773381,0.7820397440460781,215547,0.21796025595392182,6,1000,123616,43707,0.353570735179912,123616,93023,0.7525158555526793,0.9428723881319006,0.9675577999611701
988928,733590,0.7418032455345587,255338,0.2581967544654414,7,1000,123616,33843,0.27377523945120374,123616,85001,0.6876213435154025,0.9269983356735868,0.9584135548796272
988928,733194,0.7414028119337303,255734,0.25859718806626975,8,1000,123616,33400,0.27019156096298214,123616,84930,0.6870469842091639,0.9268866506117344,0.9583518719259643
988928,738871,0.747143371408232,250057,0.25285662859176805,9,1000,123616,34838,0.28182435930623867,123616,86563,0.7002572482526533,0.9297395915988965,0.9599313600181206
988928,757394,0.7658737542065752,231534,0.2341262457934248,10,1000,123616,40482,0.32748187936836654,123616,91463,0.7398961299508154,0.93952754360145,0.965581923052032
988928,757851,0.7663358707610666,231077,0.23366412923893348,11,1000,123616,39771,0.3217301967382863,123616,90600,0.7329148330313228,0.9378681073866157,0.9646273540641989
988928,699639,0.7074721314392959,289289,0.2925278685607041,12,1000,123616,28750,0.2325750711881957,123616,81940,0.6628591768055915,0.9199045432089702,0.9541523750970748
988928,701946,0.7098049605229096,286982,0.29019503947709036,13,1000,123616,28661,0.23185509966347398,123616,82258,0.6654316593321253,0.9199690866271234,0.9540583338726378
988928,675833,0.683399600375356,313095,0.31660039962464404,14,1000,123616,24598,0.19898718612477348,123616,77571,0.6275158555526793,0.9095823476793572,0.9478313891405643
988928,662779,0.6701994482914833,326149,0.3298005517085167,15,1000,123616,23018,0.1862056691690396,123616,75458,0.6104225990163086,0.904583178563893,0.9447907228837691
