input_len,output_len,total_tokens,gen_tokens,worker_total_median_s,worker_total_mean_s,worker_total_p10_s,worker_total_p90_s,worker_ttft_median_s,worker_decode_median_s,worker_tok_per_s_median,verifier_total_median_s,verifier_total_mean_s,verifier_total_p10_s,verifier_total_p90_s,verifier_tok_per_s_median,worker_over_verifier_median
128,1,129,1,0.027158440090715885,0.027797375712543725,0.025834792107343674,0.030381831061095,nan,nan,36.82096602970397,0.03317991876974702,0.03263838728889823,0.031031107250601056,0.03369142534211278,3887.8937858527966,0.8185203911794554
128,16,144,16,0.2839408228173852,0.28410007124766706,0.2831717647612095,0.28508914392441514,nan,nan,56.3497697909057,0.03396506980061531,0.03406385714188218,0.03262179493904114,0.035650037042796616,4239.649759159079,8.359789174119152
128,64,192,64,1.10848808567971,1.1088593434542418,1.1068996037356555,1.111056893132627,nan,nan,57.736299403485305,0.042189679108560085,0.04695780910551548,0.03805132713168859,0.06026623910292983,4550.876044967218,26.273916016934173
128,256,384,256,4.4061409891583025,4.406277454923838,4.40492876060307,4.407755994331092,nan,nan,58.10072819501476,0.06285957805812359,0.06259015435352921,0.059025094937533135,0.06581324394792318,6108.8542408752965,70.09498194665149
128,1024,1152,1024,17.630446332041174,17.631547583732754,17.628546848893166,17.63516588220373,nan,nan,58.08134296288379,0.16987979784607887,0.2573627238161862,0.1549626152962446,0.4486322305165232,6781.265427710127,103.7818890508417
128,2048,2176,2048,35.397313537076116,35.39757730662823,35.39615474762395,35.3993633097969,nan,nan,57.857498079758756,0.31170210894197226,0.377595523558557,0.2939440358430147,0.527730642259121,6981.024309993017,113.56135400311271
128,4096,4224,4096,71.49024434341118,71.49126389855519,71.48596198195591,71.4977017278783,nan,nan,57.29453071001433,0.8465484650805593,0.7448505707085132,0.5544159625656903,0.8848156291991471,4989.672977078797,84.44908625120243
128,8192,8320,8192,145.76687509240583,145.76571426019072,145.74750576103105,145.78233212651685,nan,nan,56.19932508539306,1.4875779072754085,1.487919720634818,1.4535888412967324,1.5223361918702722,5592.984380386905,97.98940571750418
512,1,513,1,0.0548599218018353,0.05477145239710808,0.05458670603111386,0.05488347504287958,nan,nan,18.228243263127396,0.08487892802804708,0.08482586080208421,0.08453123094514012,0.08509233705699444,6043.902908746517,0.6463314638435064
512,16,528,16,0.3137051681987941,0.3135880674235523,0.3129844615235925,0.3141938528977335,nan,nan,51.00330380869225,0.08536450797691941,0.08501946665346623,0.0842708706855774,0.08556380504742264,6185.24035940978,3.6748899001867703
512,64,576,64,1.138747087214142,1.1383426264859735,1.1370309899561106,1.1392488507553935,nan,nan,56.202119608991595,0.08628517808392644,0.08769254814833402,0.08374419277533889,0.09273964343592525,6675.538172265761,13.197482029955648
512,256,768,256,4.445167644880712,4.445691521745175,4.444062429200858,4.447793563921005,nan,nan,57.59062884722087,0.11297056498005986,0.17049798350781203,0.11083255708217621,0.28774076234549284,6798.231027131339,39.34801641175572
512,1024,1536,1024,17.71003173198551,17.709861570596694,17.706436711922287,17.713492194470017,nan,nan,57.82033682924391,0.21726198168471456,0.3216022224165499,0.20162870986387132,0.49525635391473766,7069.805716073265,81.51463774129562
512,2048,2560,2048,35.553750230930746,35.55476733408868,35.55136407669634,35.55907265460119,nan,nan,57.6029247743969,0.3560927356593311,0.4523385602980852,0.3247703516855836,0.6285506243817509,7189.138512640471,99.8440761929626
512,4096,4608,4096,71.81070882221684,71.81117183668539,71.80476819379255,71.8181127727963,nan,nan,57.038846533886,0.9360910658724606,0.9297173081897199,0.9021652789786458,0.9535205236636102,4922.597990725643,76.7133791147632
512,8192,8704,8192,146.3027900531888,146.30336504969745,146.29286226062104,146.31338397013025,nan,nan,55.993463945709955,1.5046249800361693,1.4976202957332134,1.4672046826221048,1.5229866831563412,5784.83018392448,97.23538555745091
1024,1,1025,1,0.10156032489612699,0.10130669577047229,0.10067528700456023,0.10171243399381638,nan,nan,9.846364719911753,0.15858766017481685,0.2123236612416804,0.14490888360887766,0.33379758978262547,6463.302370878704,0.6404049645739991
1024,16,1040,16,0.36239507840946317,0.3619247619993985,0.3600097537972033,0.36361376801505685,nan,nan,44.150709966104756,0.14669331070035696,0.14767049914225935,0.14348558327183128,0.15253318510949612,7089.621162919662,2.470426747336212
1024,64,1088,64,1.1904964880086482,1.1904594557359816,1.1895936998538672,1.1913212115876377,nan,nan,53.75908341153803,0.16247210977599025,0.16184746213257312,0.16025941213592887,0.16298980433493854,6696.533955889961,7.327389849556671
1024,256,1280,256,4.5074686030857265,4.507339387852698,4.505953028425575,4.508547029457986,nan,nan,56.79462743783669,0.18016547802835703,0.23364204345270992,0.17739263297989966,0.34312390685081484,7104.579711983087,25.01849217959656
1024,1024,2048,1024,17.831812254153192,17.831664351467044,17.829777200613172,17.83354002283886,nan,nan,57.425458803913834,0.2855483521707356,0.3400086025707424,0.2841083139181137,0.45004258975386624,7172.165359845803,62.44761042603097
1024,2048,3072,2048,35.782427116297185,35.782269452326,35.77946409611032,35.785038268752395,nan,nan,57.23479833672976,0.4224384822882712,0.523198583908379,0.41420665979385374,0.683326858561486,7272.064759250965,84.70446850029
