input_len,output_len,total_tokens,gen_tokens,worker_total_median_s,worker_total_mean_s,worker_total_p10_s,worker_total_p90_s,worker_ttft_median_s,worker_decode_median_s,worker_tok_per_s_median,verifier_total_median_s,verifier_total_mean_s,verifier_total_p10_s,verifier_total_p90_s,verifier_tok_per_s_median,worker_over_verifier_median
128,1,129,1,0.03414950899991709,0.03428022040002361,0.03355172920014411,0.035124992999953975,nan,nan,29.282997890318946,0.038038985000184766,0.037815413600037574,0.0371601357999225,0.038337841800057504,3391.2576794405372,0.8977502685666091
128,16,144,16,0.3698693579999599,0.3687949890000709,0.36550392360009026,0.37136993300009635,nan,nan,43.25851724111121,0.038268250999863085,0.0382244831999742,0.03752203399994869,0.03897266000003583,3762.910408435316,9.665175395689843
128,64,192,64,1.4316205719999289,1.4315142588000072,1.4294340133999868,1.4333962574000454,nan,nan,44.70458252118717,0.04762381299997287,0.047725628800026246,0.04742226719999962,0.048123363000058816,4031.596546041145,30.061023715189382
128,256,384,256,5.737132234000001,5.73719954979997,5.721075721199986,5.752466149199927,nan,nan,44.62159656750906,0.0755147909999323,0.07551083559997096,0.0717566970000007,0.07899539019995244,5085.096507786723,75.97362262454178
128,1024,1152,1024,23.132048822000115,23.127639628800033,23.105486773999928,23.14836499800008,nan,nan,44.26758770395245,0.22075035299985757,0.22016501199987032,0.2172624001998429,0.22258828599992742,5218.564701460492,104.78827556853348
128,2048,2176,2048,46.32935396599987,46.27319726799992,46.126032340799924,46.39085055279993,nan,nan,44.205235443235054,0.6295585670000037,0.5586703304000367,0.42376539800011415,0.6574254423999719,3456.3901026224735,73.59022082213933
128,4096,4224,4096,93.09090338499982,92.99376608879997,92.77044302019995,93.16279066220008,nan,nan,44.00000269693385,0.7952828450002016,0.795967458800078,0.789169067199964,0.8025565154001015,5311.3178871586615,117.05383055883246
128,8192,8320,8192,187.66459963099987,187.75337345100007,187.54844629820025,187.99510830479994,nan,nan,43.652345813263246,1.9235772570000336,1.8570579623999948,1.7229580964000888,1.9553737733998788,4325.274677543069,97.56020921336803
512,1,513,1,0.08694922899985613,0.0866107065999131,0.08569079239996427,0.08729726199990182,nan,nan,11.500964545662097,0.09728380200022002,0.14053350640006101,0.09680699059981634,0.22743460920019062,5273.231405972803,0.8937688208326755
512,16,528,16,0.43686626699991393,0.43488247739987856,0.4290084885999022,0.4397389245998057,nan,nan,36.62448032409687,0.10239834000003611,0.10213056979991961,0.10125403759984693,0.10274306159990373,5156.3335889997215,4.266341300061699
512,64,576,64,1.5196222130002752,1.5189471086000594,1.5169902222000928,1.5206517624000297,nan,nan,42.11573077340138,0.10909735500035822,0.10922210279995852,0.1088669309998295,0.10966706019989943,5279.688036415811,13.929047253210543
512,256,768,256,5.860517691000041,5.860769960199923,5.857844963600019,5.863506105399756,nan,nan,43.682147806351225,0.1385291930000676,0.13860087660004866,0.13824437339999351,0.13899458640016746,5543.957799563773,42.30529005534004
512,1024,1536,1024,23.2122218909999,23.176128270199932,23.08532879719987,23.2488952918,nan,nan,44.114691166080775,0.27090150899994114,0.31405240459998823,0.26832417500008887,0.4026992745999451,5669.957342320798,85.6850963167021
512,2048,2560,2048,46.551748147000126,46.559886884400115,46.528494080400286,46.59670614199986,nan,nan,43.99405138412566,0.4706884840006751,0.47108256680012345,0.46813643440018493,0.47473829859982286,5438.841371773031,98.90139599619641
512,4096,4608,4096,93.12367292900035,93.21400567639994,93.06983099459976,93.43009028159995,nan,nan,43.98451941562577,0.8755592049992629,0.9622688695997568,0.8623939720000635,1.1054435613998066,5262.922225806397,106.35908159868954
512,8192,8704,8192,188.39373529800014,188.25357916839985,187.93089304439962,188.45299684799994,nan,nan,43.48339920667713,1.9609251290003158,1.9573536706000596,1.9395120154000325,1.9743456885998967,4438.721229727583,96.07390537855144
1024,1,1025,1,0.15945073100010632,0.1621349300003203,0.15704828560028544,0.17011096840033135,nan,nan,6.271529730392602,0.19621125999947253,0.2410108471996864,0.18422582699968187,0.3422850225997536,5223.961152906084,0.8126482190702764
1024,16,1040,16,0.5115048739999111,0.5092873580000742,0.49819414440007675,0.5180880880001496,nan,nan,31.28024934519545,0.18843275500057644,0.23105514360049711,0.1824319668006865,0.3215133106003123,5519.210288024598,2.7145220797644565
1024,64,1088,64,1.6059630309991917,1.6058179225998175,1.604758254999615,1.6067171764003434,nan,nan,39.851477751751695,0.21376088699980755,0.25536936680018696,0.20897282040041318,0.3440357534000214,5089.799239095501,7.51289468124558
1024,256,1280,256,5.953123500999936,5.953775819599832,5.951997744599612,5.956199858599939,nan,nan,43.00263550000266,0.242752226000448,0.2863392984001621,0.24212643820028462,0.37401082779997524,5272.866169299876,24.52345586725516
1024,1024,2048,1024,23.433670463999988,23.42791726919968,23.41744769719935,23.43538384019994,nan,nan,43.69780660580346,0.3756757139999536,0.46374314239983505,0.37428148239978326,0.5978435979997812,5451.510235235097,62.377389835753085
1024,2048,3072,2048,46.7594273980003,46.72633872260012,46.56802996780024,46.84307921399977,nan,nan,43.79865438830383,0.5672616169995308,0.6542646757998227,0.5636973351996858,0.7884388529999342,5415.490680030517,82.43009221270646
1024,4096,5120,4096,93.70201100000031,93.67673889360012,93.47705132039991,93.84556992900016,nan,nan,43.713042615488654,0.976461578999988,0.974691907000306,0.9661489082001935,0.9823499512005582,5243.421871491846,95.96077614847093
1024,8192,9216,8192,188.98989093900036,188.7906525194001,188.36163982420004,189.02487322339985,nan,nan,43.34623380805117,2.089087541000481,2.1879950013997584,2.0870193403989106,2.339363362000222,4411.495362988179,90.46528076486999
2048,1,2049,1,0.3370898369994393,0.32736508139932996,0.310196761399493,0.3394679159991938,nan,nan,2.966568226741477,0.3771697989996028,0.4143816066003637,0.3487967633998778,0.5196804970011727,5432.566460609318,0.8937349647122576
2048,16,2064,16,0.6821570840002096,0.6756392301998858,0.6583459638000932,0.6877924081993114,nan,nan,23.45500820159347,0.3836994720004441,0.47050924339964695,0.3806260723991727,0.603646525399745,5379.209904145011,1.7778421232735502
2048,64,2112,64,1.7669525680012157,1.7664225463999172,1.7584459253994282,1.772764131799704,nan,nan,36.220553487973405,0.427257503999499,0.5088651473997743,0.42079634119982073,0.6392203529998368,4943.154842758423,4.135568249734678
2048,256,2304,256,6.152589459999945,6.153075096399698,6.140935657399678,6.1654844225995475,nan,nan,41.60849698559317,0.4262158450001152,0.5124661138001102,0.42581298139994034,0.6432049272003496,5405.711746824844,14.435384165500185
2048,1024,3072,1024,23.668926509000812,23.674006699000167,23.636713137999685,23.710029823200237,nan,nan,43.263474564872794,0.5719664440002816,0.6171314198003529,0.5652396212000894,0.7153324522005278,5370.944453514981,41.38166977674858
2048,2048,4096,2048,46.87431249200017,46.90709135499965,46.82776103719989,47.01260773479917,nan,nan,43.6913074799662,0.973557677001736,0.8898134390004998,0.7508464056001685,0.9874236562001897,4207.249448861052,48.14744272404992
2048,4096,6144,4096,94.04703684800006,94.09789184199981,93.88278605739978,94.35079847339985,nan,nan,43.55267467512032,1.4058659759994043,1.3697093052000127,1.2635658002000127,1.4351459590005105,4370.260113615982,66.89616112314245
2048,8192,10240,8192,189.6196973090009,189.60432675360025,189.3674168620004,189.82413099859986,nan,nan,43.2022628253143,2.330007723001472,2.3746611850005137,2.3045821366009474,2.48338396759973,4394.835218318085,81.38157459183714
4096,1,4097,1,0.6376472350002587,0.6404583631992864,0.6227762495986099,0.6619941609995295,nan,nan,1.568265249357812,0.955734458999359,0.8812559313995735,0.7529732917988441,0.9723948918002862,4286.755553723053,0.6671803334033458
4096,16,4112,16,0.980187252000178,0.9972219526003755,0.9791888968004059,1.0236926478006354,nan,nan,16.323411641347377,0.7393695330010814,0.8288441878001322,0.7365923149998708,0.9681829588000255,5561.495052831701,1.3257068465096522
4096,64,4160,64,2.1057605080004578,2.111497259799944,2.097421128199494,2.1288942615999984,nan,nan,30.39281996069521,0.7964279410007293,0.8858159150000574,0.7920130325990613,1.0253637924008216,5223.322520268272,2.6440063182044105
4096,256,4352,256,6.547439251999094,6.540216008000061,6.521138679200885,6.553380470199773,nan,nan,39.09925547179944,1.0798444579995703,0.9922990697999922,0.8473540224000317,1.0935228948001168,4030.2100619770295,6.063316993012433
4096,1024,5120,1024,24.22325868900043,24.22138019560007,24.192439376199765,24.250141191000147,nan,nan,42.27342048181938,1.2048531190012,1.127702969800157,0.9879612008004187,1.2289841347992478,4249.480637311527,20.10473999443272
4096,2048,6144,2048,47.90062380800009,47.87588741340005,47.78434735320043,47.94211602039977,nan,nan,42.75518432095981,1.4199736190003023,1.4214355007996347,1.4153252289994271,1.428878038399489,4326.840948161793,33.73346037352677
4096,4096,8192,4096,95.57733710700086,95.45701572780054,95.17203951400079,95.6213796780001,nan,nan,42.85534755393364,1.8361097699998936,1.8304373538001528,1.786774493599296,1.8651422640010424,4461.606889658059,52.05426095358471
