group,verdict,reason,count,finite_count,mean_abs_logprob_diff,abs_logprob_diff_p50,abs_logprob_diff_p90,abs_logprob_diff_p95,abs_logprob_diff_p99,rank_delta_nonzero_rate,topk_jaccard_mean,topk_jaccard_p05,union_js_p95,union_js_p99,missing_selected_count,accept_failures,reject_hits
00948d836971f053bbf9,REJECT,single sample violates one or more reject thresholds,128,128,0.7584872409955215,0.24995823903009295,2.1251047134399403,3.2903929036576276,7.160645347237588,0.234375,0.45791477185889107,0.21567489114658928,0.5515474058895248,0.6178225332288096,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
078441dc63cb2e4b07bd,REJECT,single sample violates one or more reject thresholds,128,128,0.04883678007461689,0.00119156012192434,0.12340216711163518,0.21043664813041663,0.6993000710010537,0.0234375,0.3877546361209144,0.18518518518518517,0.05850665220644434,0.11589793396517892,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; topk_jaccard_mean; union_js_p99
081f312c80bb99972dbd,REJECT,single sample violates one or more reject thresholds,128,128,0.7409234491219069,0.2908281534910202,2.3478004738688467,2.953352627158164,4.2812006999179735,0.3203125,0.43077938760341383,0.2636862745098039,0.438728154093014,0.6146507627403938,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
0848a18636674f51559d,REJECT,single sample violates one or more reject thresholds,128,128,0.9592957371647066,0.3189824707818616,2.9952393360435954,3.923884378559886,6.2838562899828005,0.3203125,0.36865951906742184,0.23076923076923078,0.5999561888927497,0.6642521489221114,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
08a516ed65ded1d98939,REJECT,single sample violates one or more reject thresholds,128,128,0.8255067963190394,0.36325307190418243,2.303709381818771,3.3264916449785225,4.739630514681341,0.3828125,0.5056209595291292,0.3333333333333333,0.405132215988799,0.55720004494334,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
0a1d8a7c087c9dc3d2cd,REJECT,single sample violates one or more reject thresholds,128,128,1.1088826062863588,0.47728782892227173,2.5968140721321102,4.606604295969009,7.835821197927001,0.359375,0.3979644086120708,0.21567489114658928,0.4407270821626704,0.5919872722061175,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
0a95e425e4dd7a02f20c,REJECT,single sample violates one or more reject thresholds,128,128,1.1436285149839667,0.7539254166185856,2.5924075871706003,4.272652213275424,7.123619041470814,0.390625,0.34247797747015735,0.20754716981132076,0.5523498823125308,0.6493092260597679,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
0aa6cfc00ab1dd402f7e,REJECT,single sample violates one or more reject thresholds,128,128,0.12822400069936757,0.004476795072150708,0.30807340592145915,0.7940507471561409,1.4011672478914265,0.0546875,0.3824461974636928,0.16363636363636364,0.17841956906591294,0.2333364093736887,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; topk_jaccard_mean; union_js_p99
0b78fd794493c2fce383,REJECT,single sample violates one or more reject thresholds,128,128,0.9790428234996551,0.2736564427614496,2.9714061975479114,4.068017060093734,6.670648340284824,0.3046875,0.38491180067110325,0.20754716981132076,0.5498096318589306,0.6348706212385227,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; rank_delta_nonzero_rate; topk_jaccard_mean; union_js_p99
0c1b0aa5f7b49771176d,REJECT,single sample violates one or more reject thresholds,128,128,0.05435887659249017,0.000534748775294247,0.07464436411391942,0.1810238714795556,1.2137201951444188,0.0234375,0.39378909912188736,0.28,0.041350231745906206,0.3341731275231388,0,mean_abs_logprob_diff; abs_logprob_diff_p95; abs_logprob_diff_p99; topk_jaccard_mean; union_js_p99,mean_abs_logprob_diff; abs_logprob_diff_p99; topk_jaccard_mean; union_js_p99
