abs_logprob_diff_p50,abs_logprob_diff_p90,abs_logprob_diff_p95,abs_logprob_diff_p99,abs_logprob_diff_p999,count,finite_count,group,max_abs_logprob_diff,mean_abs_logprob_diff,missing_selected_count,rank_delta_nonzero_rate,topk_jaccard_mean,topk_jaccard_p01,topk_jaccard_p05,union_js_max,union_js_p95,union_js_p99
0.02239442616701126,0.3248885966837406,0.4892228222452099,0.6878898549079897,1.2336603046655683,128,128,00948d836971f053bbf9,1.310400366783142,0.11093492639930996,0,0.046875,0.8427642751462411,0.6842105263157895,0.7297297297297297,0.14627090675144733,0.0641492556673118,0.08985725058907998
4.172217359155184e-06,0.023721418529748912,0.12526308894157384,0.3384643524885178,0.43500043076276834,128,128,078441dc63cb2e4b07bd,0.44885480403900146,0.017792516318985263,0,0.03125,0.7360580201506749,0.43094949494949497,0.5007751937984497,0.0519721292996679,0.010866375333152174,0.04337753807293282
0.023419689387083054,0.32511467337608335,0.7642171785235394,1.007525388598442,1.6585294455289876,128,128,081f312c80bb99972dbd,1.7528698444366455,0.12870653784025593,0,0.09375,0.8237061198651756,0.6842105263157895,0.6842105263157895,0.16263751824206973,0.05366749438540557,0.08074766287088733
0.004503569798544049,0.4857940644025802,0.6339916653931139,1.579180618524553,2.575489090442662,128,128,0848a18636674f51559d,2.7033966779708862,0.1316322584908799,0,0.078125,0.8268233214827643,0.6526855600539812,0.7001422475106687,0.44268964131004385,0.10466661716725,0.17475387572183426
0.04982280731201172,0.1996682375669479,0.27293002754449835,0.446018717288971,0.5239301144480709,128,128,08a516ed65ded1d98939,0.5349968671798706,0.08558787004880442,0,0.0625,0.8344437869399169,0.6110769230769231,0.6410256410256411,0.04545093054491468,0.027865192581046333,0.043782697566737
0.06688916683197021,0.37837632894515993,0.47310377359390254,1.0323436465859415,11.012311707168871,128,128,0a1d8a7c087c9dc3d2cd,12.462367475032806,0.23423373730017039,0,0.125,0.8044724111760707,0.5825891181988744,0.6842105263157895,0.5771595484430709,0.06363696738918326,0.11635268764779906
0.0052875070832669735,0.3445319026708602,0.4519283071160314,0.8600353094935418,2.503778197944173,128,128,0a95e425e4dd7a02f20c,2.7417458295822144,0.1107469490696728,0,0.0546875,0.808329339231042,0.6410256410256411,0.6842105263157895,0.16906737171893907,0.08538153314497732,0.1269042280608949
0.00012291878374526277,0.08201590320095414,0.16881625354290009,0.5480221214890482,0.5894865765273573,128,128,0aa6cfc00ab1dd402f7e,0.5941171646118164,0.033255566801922154,0,0.0078125,0.7498470502426725,0.391304347826087,0.46638477801268496,0.06855717868885382,0.027254263426232266,0.05579881127869132
0.0005166112823644653,0.1448373321443796,0.3733533710241311,1.3584017220139515,1.9687402735054522,128,128,0b78fd794493c2fce383,2.04694801568985,0.08115472059524376,0,0.0625,0.8498477661306609,0.6526855600539812,0.7297297297297297,0.19482799098153614,0.04007740657202934,0.1740450374157955
1.78813229467778e-06,0.009282651171088214,0.01906305197626352,0.16609546542167672,0.34341700184345336,128,128,0c1b0aa5f7b49771176d,0.36843717098236084,0.007581669393749102,0,0.0078125,0.8151967561527066,0.5338443670150987,0.5889931207004379,0.024902712800579686,0.001161693968254452,0.019279138533779924
0.0035503238905221224,0.5507426887750624,1.306559944152832,3.414227200075988,4.546378804214303,128,128,0c7a3248234f94699a83,4.666468858718872,0.2437951101447154,0,0.125,0.7838284609257954,0.5825891181988744,0.6410256410256411,0.5051895644345702,0.16894874777358954,0.40175454675484107
