common_len,common_topk,compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_id,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum
64,8,512,457,0.892578125,55,0.107421875,0,0003c1ab20d811680fab,64,40,0.625,64,59,0.921875,0.9826388888888888,62.888888888888886,0.990234375,63.375
64,8,512,458,0.89453125,54,0.10546875,1,0003c1ab20d811680fab,64,39,0.609375,64,60,0.9375,0.9861111111111112,63.111111111111114,0.9921875,63.5
127,8,1016,927,0.9124015748031497,89,0.08759842519685039,0,00948d836971f053bbf9,127,85,0.6692913385826772,127,114,0.8976377952755905,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375
127,8,1016,893,0.8789370078740157,123,0.12106299212598425,1,00948d836971f053bbf9,127,69,0.5433070866141733,127,108,0.8503937007874016,0.9667541557305336,122.77777777777777,0.9812992125984252,124.625
127,8,1016,892,0.8779527559055118,124,0.1220472440944882,0,00afd811d2fb32cde01b,127,75,0.5905511811023622,127,118,0.9291338582677166,0.984251968503937,125.0,0.9911417322834646,125.875
127,8,1016,880,0.8661417322834646,136,0.13385826771653545,1,00afd811d2fb32cde01b,127,67,0.5275590551181102,127,111,0.8740157480314961,0.9720034995625548,123.44444444444444,0.984251968503937,125.0
127,8,1016,893,0.8789370078740157,123,0.12106299212598425,0,00c5b0bb8b418f1087d2,127,74,0.5826771653543307,127,113,0.889763779527559,0.9755030621172355,123.88888888888889,0.9862204724409449,125.25
127,8,1016,891,0.8769685039370079,125,0.12303149606299213,1,00c5b0bb8b418f1087d2,127,75,0.5905511811023622,127,116,0.9133858267716536,0.9807524059492565,124.55555555555556,0.9891732283464567,125.625
127,8,1016,886,0.8720472440944882,130,0.1279527559055118,0,00ea1d2b9e3c897033ae,127,66,0.5196850393700787,127,108,0.8503937007874016,0.9667541557305336,122.77777777777777,0.9812992125984252,124.625
127,8,1016,842,0.8287401574803149,174,0.17125984251968504,1,00ea1d2b9e3c897033ae,127,56,0.4409448818897638,127,104,0.8188976377952756,0.9597550306211724,121.88888888888889,0.9773622047244095,124.125
127,8,1016,892,0.8779527559055118,124,0.1220472440944882,0,01159c067d84ad43a166,127,76,0.5984251968503937,127,118,0.9291338582677166,0.984251968503937,125.0,0.9911417322834646,125.875
127,8,1016,879,0.8651574803149606,137,0.13484251968503938,1,01159c067d84ad43a166,127,71,0.5590551181102362,127,113,0.889763779527559,0.9741032370953631,123.71111111111111,0.985236220472441,125.125
127,8,1016,911,0.8966535433070866,105,0.10334645669291338,0,014c2c850a48d8d32f72,127,74,0.5826771653543307,127,109,0.8582677165354331,0.968503937007874,123.0,0.9822834645669292,124.75
127,8,1016,785,0.7726377952755905,231,0.22736220472440946,1,014c2c850a48d8d32f72,127,41,0.3228346456692913,127,92,0.7244094488188977,0.9387576552930883,119.22222222222223,0.9655511811023622,122.625
127,8,1016,902,0.8877952755905512,114,0.11220472440944881,0,014ff27d5116c25971aa,127,75,0.5905511811023622,127,116,0.9133858267716536,0.9807524059492564,124.55555555555556,0.9891732283464567,125.625
127,8,1016,884,0.8700787401574803,132,0.12992125984251968,1,014ff27d5116c25971aa,127,65,0.5118110236220472,127,112,0.8818897637795275,0.973753280839895,123.66666666666667,0.985236220472441,125.125
127,8,1016,897,0.8828740157480315,119,0.1171259842519685,0,0167de77ade28a1387ba,127,73,0.5748031496062992,127,118,0.9291338582677166,0.984251968503937,125.0,0.9911417322834646,125.875
127,8,1016,880,0.8661417322834646,136,0.13385826771653545,1,0167de77ade28a1387ba,127,66,0.5196850393700787,127,100,0.7874015748031497,0.952755905511811,121.0,0.9734251968503937,123.625
127,8,1016,920,0.905511811023622,96,0.09448818897637795,0,022f9baa16bf97afecb7,127,84,0.6614173228346457,127,114,0.8976377952755905,0.9772528433945757,124.11111111111111,0.9872047244094488,125.375
127,8,1016,877,0.8631889763779528,139,0.13681102362204725,1,022f9baa16bf97afecb7,127,66,0.5196850393700787,127,113,0.889763779527559,0.9755030621172354,123.88888888888889,0.9862204724409449,125.25
127,8,1016,918,0.9035433070866141,98,0.09645669291338582,0,0250f87838b3c4e749b5,127,82,0.6456692913385826,127,117,0.9212598425196851,0.9825021872265968,124.77777777777777,0.9901574803149606,125.75
127,8,1016,893,0.8789370078740157,123,0.12106299212598425,1,0250f87838b3c4e749b5,127,70,0.5511811023622047,127,113,0.889763779527559,0.9755030621172354,123.88888888888889,0.9862204724409449,125.25
127,8,1016,885,0.8710629921259843,131,0.12893700787401574,0,027150b07a186d142ae6,127,70,0.5511811023622047,127,110,0.8661417322834646,0.9702537182852145,123.22222222222223,0.9832677165354331,124.875
127,8,1016,876,0.8622047244094488,140,0.1377952755905512,1,027150b07a186d142ae6,127,65,0.5118110236220472,127,117,0.9212598425196851,0.9825021872265968,124.77777777777777,0.9901574803149606,125.75
