compared_entries,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,layer_idx,sample_layer_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,topk_jaccard_mean,topk_overlap_mean
988928,876833,0.8866499886746052,112095,0.11335001132539477,0,1000,123616,73079,0.5911775174734663,123616,109662,0.8871181724048667,0.9747483245606471,0.9857724728190526
988928,840380,0.8497888622831996,148548,0.15021113771680042,1,1000,123616,62062,0.5020547501941496,123616,103465,0.836987121408232,0.9627014057217259,0.9788639820088014
988928,814941,0.8240650482138234,173987,0.17593495178617655,2,1000,123616,54032,0.4370955216153249,123616,98750,0.7988448097333678,0.9528869460852379,0.973119377750453
988928,776442,0.7851350148848045,212486,0.21486498511519544,3,1000,123616,44045,0.3563050090603158,123616,93198,0.7539315298990422,0.9429491001132208,0.9675608335490551
988928,798488,0.8074278410561739,190440,0.19257215894382604,4,1000,123616,49404,0.3996570023297955,123616,96246,0.7785885322288377,0.948791761780371,0.9708998026145482
988928,779198,0.7879218709552162,209730,0.21207812904478385,5,1000,123616,44264,0.35807662438519283,123616,93452,0.7559862800931918,0.9442964462120553,0.9684557419751488
988928,772547,0.7811964066140306,216381,0.21880359338596944,6,1000,123616,43364,0.35079601346104067,123616,92960,0.7520062127879886,0.9427847593198352,0.9675102737509708
988928,732594,0.7407960943567176,256334,0.25920390564328244,7,1000,123616,34044,0.27540124255759774,123616,85143,0.6887700621278798,0.9273231604159637,0.9586046709163862
988928,732230,0.7404280190266632,256698,0.2595719809733368,8,1000,123616,33243,0.26892149883510225,123616,84855,0.6864402666321512,0.9267110334512614,0.958245696349987
988928,738573,0.746842035011649,250355,0.253157964988351,9,1000,123616,34889,0.2822369272586073,123616,86519,0.6999013072741392,0.9296448500014376,0.9598797890240746
988928,756990,0.7654652310380533,231938,0.23453476896194667,10,1000,123616,40300,0.3260095780481491,123616,91377,0.7392004271291742,0.9393216725892096,0.9654585571447062
988928,758407,0.766898095715765,230521,0.23310190428423505,11,1000,123616,39929,0.32300834843385967,123616,90484,0.7319764431788766,0.9377109774339907,0.964552525563034
988928,700117,0.7079554831089827,288811,0.29204451689101735,12,1000,123616,28739,0.23248608594356718,123616,81758,0.6613868754853741,0.9195956961035909,0.9539855277633963
988928,700057,0.7078948113512814,288871,0.2921051886487186,13,1000,123616,28311,0.22902375097074812,123616,82012,0.6634416256795237,0.9193190959240671,0.9536518330960394
988928,675034,0.6825916548019674,313894,0.3174083451980326,14,1000,123616,24436,0.1976766761584261,123616,77437,0.6264318534817499,0.9093923485264416,0.9477373479161274
988928,662046,0.6694582416515661,326882,0.33054175834843386,15,1000,123616,22768,0.184183277245664,123616,75686,0.6122670204504271,0.9050295987844513,0.9450404882863059
988928,650643,0.6579275741004401,338285,0.34207242589955994,16,1000,123616,21181,0.1713451333160756,123616,73719,0.5963548407973078,0.9003613934674642,0.9421757701268444
988928,652794,0.6601026566140306,336134,0.33989734338596944,17,1000,123616,22379,0.18103643541289152,123616,74743,0.6046385581154543,0.9011053165418299,0.9422435202562776
988928,643642,0.6508481911726637,345286,0.34915180882733626,18,1000,123616,22179,0.17941852187419105,123616,73372,0.5935477608076625,0.8964459697908447,0.93909364483562
988928,634065,0.6411639674475796,354863,0.3588360325524204,19,1000,123616,20545,0.166200168263008,123616,70882,0.5734047372508413,0.8910097876639417,0.9358871424411079
988928,643537,0.6507420155966865,345391,0.34925798440331346,20,1000,123616,20054,0.1622281905254983,123616,69227,0.5600165027180948,0.8869956080462805,0.9334066787470877
988928,657785,0.6651495356588144,331143,0.3348504643411856,21,1000,123616,22571,0.182589632410044,123616,71794,0.5807824229873155,0.89230728967009,0.9364554345715765
988928,672266,0.6797926643800155,316662,0.3202073356199845,22,1000,123616,26319,0.21290933212529123,123616,75631,0.6118220942272845,0.8981973469191954,0.9392867832643024
988928,678210,0.6858032131762879,310718,0.31419678682371216,23,1000,123616,26822,0.21697838467512295,123616,76671,0.6202352446285271,0.89990450448967,0.9401614677711623
988928,632590,0.6396724534040901,356338,0.36032754659590993,24,1000,123616,20813,0.16836817240486668,123616,69675,0.5636406290447838,0.8827223228708467,0.9294973951592027
988928,645736,0.652965635516438,343192,0.347034364483562,25,1000,123616,21532,0.17418457157649495,123616,70197,0.5678633833807921,0.8847909288628935,0.9309262150530676
988928,624019,0.6310054928164639,364909,0.3689945071835361,26,1000,123616,19784,0.16004400724825266,123616,68060,0.5505759772197774,0.8790870286485741,0.9271837787988609
988928,630766,0.6378280319699715,358162,0.3621719680300285,27,1000,123616,21055,0.17032584778669427,123616,69889,0.5653717965311934,0.8815606521502201,0.9283062063163344
988928,669915,0.6774153426740875,319013,0.3225846573259125,28,1000,123616,25058,0.20270838726378462,123616,72804,0.588952886357753,0.8903955645413061,0.9342540609629821
988928,675296,0.6828565881439296,313632,0.3171434118560704,29,1000,123616,26352,0.2131762878591768,123616,74107,0.5994935930623867,0.8932224818857618,0.9358638849339891
